name,date,score,market_value,market_value_norm,score_norm,performance
Christian Fassnacht,2016-12-18,0,660000.0,0.10204081632653061,0.0,0.10204081632653061
Christian Fassnacht,2016-12-25,4,660000.0,0.10204081632653061,0.26666666666666666,0.3687074829931973
Christian Fassnacht,2017-01-01,4,660000.0,0.10204081632653061,0.26666666666666666,0.3687074829931973
Christian Fassnacht,2017-01-08,4,660000.0,0.10204081632653061,0.26666666666666666,0.3687074829931973
Christian Fassnacht,2017-01-15,4,660000.0,0.10204081632653061,0.26666666666666666,0.3687074829931973
Christian Fassnacht,2017-01-22,4,660000.0,0.10204081632653061,0.26666666666666666,0.3687074829931973
Christian Fassnacht,2017-01-29,3,660000.0,0.10204081632653061,0.2,0.3020408163265306
Christian Fassnacht,2017-02-05,6,660000.0,0.10204081632653061,0.4,0.5020408163265306
Christian Fassnacht,2017-02-12,2,660000.0,0.10204081632653061,0.13333333333333333,0.23537414965986395
Christian Fassnacht,2017-02-19,2,1100000.0,0.1836734693877551,0.13333333333333333,0.31700680272108844
Christian Fassnacht,2017-02-26,7,1100000.0,0.1836734693877551,0.4666666666666667,0.6503401360544218
Christian Fassnacht,2017-03-05,15,1100000.0,0.1836734693877551,1.0,1.183673469387755
Christian Fassnacht,2017-03-12,15,1100000.0,0.1836734693877551,1.0,1.183673469387755
Christian Fassnacht,2017-03-19,4,1100000.0,0.1836734693877551,0.26666666666666666,0.4503401360544218
Christian Fassnacht,2017-03-26,4,1100000.0,0.1836734693877551,0.26666666666666666,0.4503401360544218
Christian Fassnacht,2017-04-02,4,1100000.0,0.1836734693877551,0.26666666666666666,0.4503401360544218
Christian Fassnacht,2017-04-09,4,1100000.0,0.1836734693877551,0.26666666666666666,0.4503401360544218
Christian Fassnacht,2017-04-16,2,1100000.0,0.1836734693877551,0.13333333333333333,0.31700680272108844
Christian Fassnacht,2017-04-23,2,1100000.0,0.1836734693877551,0.13333333333333333,0.31700680272108844
Christian Fassnacht,2017-04-30,0,1100000.0,0.1836734693877551,0.0,0.1836734693877551
Christian Fassnacht,2017-05-07,2,1100000.0,0.1836734693877551,0.13333333333333333,0.31700680272108844
Christian Fassnacht,2017-05-14,6,1100000.0,0.1836734693877551,0.4,0.5836734693877551
Christian Fassnacht,2017-05-21,3,1100000.0,0.1836734693877551,0.2,0.38367346938775515
Christian Fassnacht,2017-05-28,1,1100000.0,0.1836734693877551,0.06666666666666667,0.2503401360544218
Christian Fassnacht,2017-06-04,4,1375000.0,0.23469387755102042,0.26666666666666666,0.501360544217687
Christian Fassnacht,2017-06-11,4,1375000.0,0.23469387755102042,0.26666666666666666,0.501360544217687
Christian Fassnacht,2017-06-18,4,1375000.0,0.23469387755102042,0.26666666666666666,0.501360544217687
Christian Fassnacht,2017-06-25,13,1375000.0,0.23469387755102042,0.8666666666666667,1.101360544217687
Christian Fassnacht,2017-07-02,13,1375000.0,0.23469387755102042,0.8666666666666667,1.101360544217687
Christian Fassnacht,2017-07-09,13,1375000.0,0.23469387755102042,0.8666666666666667,1.101360544217687
Christian Fassnacht,2017-07-16,3,1375000.0,0.23469387755102042,0.2,0.4346938775510204
Christian Fassnacht,2017-07-23,3,1375000.0,0.23469387755102042,0.2,0.4346938775510204
Christian Fassnacht,2017-07-30,1,1375000.0,0.23469387755102042,0.06666666666666667,0.3013605442176871
Christian Fassnacht,2017-08-06,1,1375000.0,0.23469387755102042,0.06666666666666667,0.3013605442176871
Christian Fassnacht,2017-08-13,3,1375000.0,0.23469387755102042,0.2,0.4346938775510204
Christian Fassnacht,2017-08-20,3,1375000.0,0.23469387755102042,0.2,0.4346938775510204
Christian Fassnacht,2017-08-27,5,1925000.0,0.336734693877551,0.3333333333333333,0.6700680272108843
